iso3,year,value,wb_indicator,canonical_name,var_year
KHM,2022,39994532959.6074,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
KHM,2021,36790163687.4421,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
KHM,2020,34818073901.4851,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
KHM,2019,36685356407.7206,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
KHM,2018,33145892168.8958,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CMR,2024,53296694320.2057,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
CMR,2023,48814501547.4313,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CMR,2022,44347206072.5513,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CMR,2021,45011937346.8384,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CMR,2020,40773241177.0505,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
CMR,2019,39667757527.6578,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
CMR,2018,39955552189.795,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CAN,2024,2243636826633.76,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
CAN,2023,2173339670064.33,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CAN,2022,2190411080134.32,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CAN,2021,2022378748423.23,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CAN,2020,1655684730000.19,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
CAN,2019,1743725183672.52,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
CAN,2018,1725329192783.02,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CYM,2023,7241244269.45972,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CYM,2022,6660161212.01997,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CYM,2021,6060813808.15072,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CYM,2020,5655357984.24218,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
CYM,2019,5941896599.57333,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
CYM,2018,5530178498.90783,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
CAF,2024,2751494281.06887,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
CAF,2023,2555492085.94725,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
CAF,2022,2382618615.01694,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
CAF,2021,2516498412.46384,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
CAF,2020,2326720900.38047,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
