pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Kenya,2024,0-100,3_pillars_10_dims,43.55729827,93.0,56.20430435,30.97576648,43.49182398,50.0,77.76649823,54.55527821,42.49544096,11.84482924,46.94634515,34.13612505,32.25563202,39.55528996,58.66454997
Nigeria,2024,0-100,3_pillars_10_dims,43.32516864,94.0,59.87967854,27.10995893,42.98586844,100.0,69.80062513,32.3695043,37.34858471,9.775356246,43.99918219,27.55533836,25.81314227,33.12569226,70.01877079
Ghana,2024,0-100,3_pillars_10_dims,43.30178073,95.0,59.52623933,25.34735134,45.03175151,100.0,61.72583228,42.67034137,33.70878369,6.893477458,43.54729969,25.60127687,31.01739528,42.03175146,62.0461078
Benin,2024,0-100,3_pillars_10_dims,42.96796567,96.0,59.91827431,24.30256725,44.68305544,100.0,56.21316266,43.51513442,39.94480016,5.992781233,36.78841809,30.12650243,26.59020079,47.41968283,60.03928269
Cuba,2024,0-100,3_pillars_10_dims,42.43439145,97.0,51.55003678,26.75681083,48.99632675,100.0,41.60955028,22.54056496,42.05003187,20.30416034,40.14674118,19.81953098,26.95145779,41.88958721,78.14793525
Mongolia,2024,0-100,3_pillars_10_dims,42.36130396,98.0,36.93689603,26.78497186,63.362044,0.0,52.09878261,53.56818844,42.08061307,17.25885239,36.00150764,27.09455553,34.43844308,85.18550898,70.46217995
Bahamas,2024,0-100,3_pillars_10_dims,42.03231259,99.0,31.48639577,30.40248135,64.20806063,0.0,51.63984116,37.35254354,36.95319839,22.99274856,35.87200005,32.34269544,38.89745454,55.39339402,98.33333333
Zambia,2024,0-100,3_pillars_10_dims,41.87395066,100.0,60.77581198,23.21623235,41.62980764,100.0,56.49448846,41.66210655,44.94665291,5.884700885,37.12431383,26.63968233,24.23287398,40.26908263,60.38746631
Morocco,2024,0-100,3_pillars_10_dims,41.77772556,101.0,34.81714719,36.69524288,53.82078661,0.0,56.94542181,38.9642475,43.35891944,19.64301729,49.81559988,40.62711147,37.96524035,51.27588538,72.22123412
Saint Kitts and Nevis,2024,0-100,3_pillars_10_dims,41.61719413,102.0,30.26260392,32.6468498,61.94212866,0.0,52.96968899,22.69890835,45.38181836,25.31079672,40.21320326,32.41654941,39.99576883,52.0639896,93.76662756
Antigua and Barbuda,2024,0-100,3_pillars_10_dims,41.61237893,103.0,30.68458463,30.65951104,63.49304111,0.0,50.06815971,27.28836048,45.38181836,23.51799092,36.60890241,31.85163978,38.53196883,58.18052695,93.76662756
Ecuador,2024,0-100,3_pillars_10_dims,41.45594571,104.0,34.2739723,29.30504628,60.78881857,0.0,54.35689629,48.17982805,34.55916484,18.35024399,41.09624638,28.46864846,29.37149092,80.59136043,72.40360435
Mauritania,2024,0-100,3_pillars_10_dims,41.39992651,105.0,50.11835718,29.10376253,44.97765982,100.0,40.1443432,23.42417568,36.90490984,11.93356255,32.67459783,42.7031272,25.94334771,42.09517784,66.89445391
Barbados,2024,0-100,3_pillars_10_dims,41.10918269,106.0,32.12344233,31.69007045,59.5140353,0.0,55.94503053,27.16668773,45.38205106,23.65583532,37.97890241,33.43547361,36.84105454,55.23381569,86.46723566
Iraq,2024,0-100,3_pillars_10_dims,40.90613432,,32.601393,35.86924844,54.24776153,50.0,19.41107711,20.89853528,40.0959596,19.01728203,41.61397641,46.97648687,29.39325299,53.10131661,80.24871499
Cabo Verde,2024,0-100,3_pillars_10_dims,40.67090537,,39.57566802,27.24891134,55.18813676,0.0,56.77074037,52.79752501,48.73440668,19.17560573,33.56383197,29.00729632,26.55114771,59.67585462,79.33740795
Pakistan,2024,0-100,3_pillars_10_dims,40.47235612,,40.6128633,36.93722819,43.86697687,50.0,40.63256544,37.37965074,34.43923701,16.69267783,45.23943533,48.87957143,28.67205327,40.76262691,62.16625045
Trinidad and Tobago,2024,0-100,3_pillars_10_dims,40.13955078,,32.32995961,31.52954548,56.55914726,0.0,54.28490626,34.77929741,40.25563474,19.97937167,37.00206595,37.6071988,36.25674941,45.04354283,88.37714954
Azerbaijan,2024,0-100,3_pillars_10_dims,39.92386783,,35.5554264,29.4334401,54.78273698,0.0,50.98546268,45.65054416,45.58569877,13.04640518,38.8962408,36.35767431,33.81180809,50.70196357,79.83443928
Paraguay,2024,0-100,3_pillars_10_dims,39.53861042,,36.90180549,23.15469899,58.55932678,0.0,55.17154987,42.08676171,50.34891036,12.56422932,33.44870378,23.45116388,29.21101983,52.99724395,93.46971657
Belarus,2024,0-100,3_pillars_10_dims,39.23880845,,27.5434051,34.56645637,55.60656387,0.0,37.3505079,36.89534348,35.92776903,20.55557782,37.37871534,45.76507593,36.20720809,56.31693208,74.29555144
Saint Lucia,2024,0-100,3_pillars_10_dims,39.10720613,,31.09782151,28.62766551,57.59613135,0.0,51.7223497,37.29196849,35.37696786,19.88437315,34.87159649,31.12702689,29.3544933,61.6075446,81.82635616
Algeria,2024,0-100,3_pillars_10_dims,39.05673544,,31.67587515,33.25931557,52.23501561,0.0,44.04483391,35.0113491,47.6473176,10.25145881,45.03332315,44.49316475,29.71848986,55.04811161,71.93844534
Vanuatu,2024,0-100,3_pillars_10_dims,39.03768065,,34.44281875,30.84615995,51.82406325,0.0,47.04190796,44.36240695,46.36696011,19.96732815,39.46084888,33.1103028,33.52832257,45.32332125,76.62054593
Bhutan,2024,0-100,3_pillars_10_dims,38.77536479,,34.017059,25.58034036,56.728695,0.0,51.75899764,41.72529435,42.58394401,13.58252087,30.16319652,32.99530369,36.82781119,68.39403474,64.96423906
Tonga,2024,0-100,3_pillars_10_dims,38.63065051,,31.75248109,34.88705063,49.25241982,0.0,29.9412526,40.50429036,56.5643814,24.68264282,47.66063942,32.31786965,32.71127786,35.09508991,79.95089168
Ethiopia,2024,0-100,3_pillars_10_dims,38.33624612,,51.46134117,21.57147675,41.97592043,100.0,45.43494114,27.79799672,32.61242683,4.411435653,34.7978215,25.5051731,18.63543093,41.27219155,66.02013879
Botswana,2024,0-100,3_pillars_10_dims,38.16381779,,35.13639427,30.23328622,49.12177289,0.0,60.94495724,29.70254358,49.89807626,17.04558114,39.97547159,33.67880592,23.69361883,46.19876982,77.47293002
Grenada,2024,0-100,3_pillars_10_dims,37.96322567,,31.88157706,28.39046968,53.61763026,0.0,50.47414023,31.63338578,45.41878224,20.17108535,34.87159649,30.12872721,33.51682271,46.92146616,80.41460192
Jamaica,2024,0-100,3_pillars_10_dims,37.79095056,,34.43360977,28.82493464,50.11430727,0.0,55.32524254,33.92965054,48.47954601,20.98093343,35.48718721,30.00668327,30.26097871,43.4657383,76.6162048
Marshall Islands,2024,0-100,3_pillars_10_dims,37.62419653,,29.93938481,31.64629573,51.28690904,0.0,27.20599316,34.6581337,57.89341238,26.33325213,50.72681258,17.87882249,37.210535,32.93351535,83.71667675
