ECONOMY_NAME,ISO3,ISO2,POP,NGDPD,PPPPC,INCOME,REGION_WB,REG_UN,REG_UN_CODE,SubReg,EU27,YEAR,PPPGDP
Madagascar,MDG,,28427,,1630,LI,,Sub-Saharan Africa,SSA,,,2022,46.1
Malaysia,MYS,,32776,,29048,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,969
Mali,MLI,,20856,,2522,LI,,Sub-Saharan Africa,SSA,,,2022,51.1
Malta,MLT,,443,,47152,HI,,Europe,EUR,,,2022,24.6
Mauritania,MRT,,4775,,6293,LM,,Sub-Saharan Africa,SSA,,,2022,26.7
Mauritius,MUS,,1273,,22311,UM,,Sub-Saharan Africa,SSA,,,2022,28.3
Mexico,MEX,,130262,,20820,UM,,Latin America and the Caribbean,LCN,,,2022,2685.2
Mongolia,MNG,,3329,,12671,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,43.2
Montenegro,MNE,,628,,21387,UM,,Europe,EUR,,,2022,13.3
Morocco,MAR,,37345,,8338,LM,,Northern Africa and Western Asia,NAWA,,,2022,302.8
Mozambique,MOZ,,32163,,1338,LI,,Sub-Saharan Africa,SSA,,,2022,43
Myanmar,MMR,,54806,,4426,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,237
Namibia,NAM,,2587,,9616,UM,,Sub-Saharan Africa,SSA,,,2022,25
Nepal,NPL,,29675,,4215,LM,,Central and Southern Asia,CSA,,,2022,123.2
Netherlands,NLD,,17173,,61816,HI,,Europe,EUR,,,2022,1079.2
New Zealand,NZL,,4861,,45880,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,235
Nicaragua,NIC,,6702,,6133,LM,,Latin America and the Caribbean,LCN,,,2022,40.1
Niger,NER,,25131,,1355,LI,,Sub-Saharan Africa,SSA,,,2022,34
Nigeria,NGA,,211401,,5377,LM,,Sub-Saharan Africa,SSA,,,2022,1136.8
North Macedonia,MKD,,2083,,18069,UM,,Europe,EUR,,,2022,37.4
Norway,NOR,,5466,,69859,HI,,Europe,EUR,,,2022,378.4
Oman,OMN,,5223,,32327,HI,,Northern Africa and Western Asia,NAWA,,,2022,147.8
Pakistan,PAK,,225200,,5447,LM,,Central and Southern Asia,CSA,,,2022,1157.5
Panama,PAN,,4382,,30889,UM,,Latin America and the Caribbean,LCN,,,2022,134
Paraguay,PRY,,7220,,13724,UM,,Latin America and the Caribbean,LCN,,,2022,100.9
Peru,PER,,33359,,13410,UM,,Latin America and the Caribbean,LCN,,,2022,453.7
Philippines,PHL,,111047,,8900,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,983.1
Poland,POL,,37797,,37323,HI,,Europe,EUR,,,2022,1412.3
Portugal,PRT,,10168,,36543,HI,,Europe,EUR,,,2022,376.1
Qatar,QAT,,2931,,100037,HI,,Northern Africa and Western Asia,NAWA,,,2022,273.9
Republic of Korea,KOR,,51305,,48309,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2022,2503.4
