question,tier,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q6,primary,oxford_ind_data_governance,OLS_full,wb_regulatory_quality_z,0.9311370107814105,16.125883339014457,0.9545572708650933,-98.82742101719971,51.113021544561015,0.778,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wipo_in_score_z,7.543958710577609,13.550897394720785,0.5842221672765979,-30.0107178456879,81.51619926451735,0.32,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_mobile_subscriptions_per100_z,1.532631981578037,2.3732393810607504,0.5261339748981751,-11.598618445178253,12.299198460221268,0.675,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_secure_servers_per_1m_z,1.0685629056131205,3.1161071780587357,0.7354265164102447,-11.875854660513328,13.291621732622598,0.723,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,wb_electric_consumption_kwh_pc_z,1.320802106341822,2.2569546676231873,0.5652899359502408,-9.343325662547059,11.17902820716419,0.638,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,OLS_full,const,74.86932372083095,13.054331478829237,1.5820809197523117e-05,31.040044147632766,138.88407212004591,0.006,36,0.6600122199043954,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,Logistic,__model_metadata__,,,,,,,36,,,,42,50.0,median,1.0,35.0,,,,"{""penalty"":""l2"",""C"":1.0}",,
Q6,primary,oxford_ind_data_governance,Logistic,n_binding,0.16774370400514943,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,Logistic,n_non_binding,0.2445207490695443,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,Logistic,n_hybrid,0.08648255182045872,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,Logistic,regulatory_intensity,0.01841762146279078,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_ind_data_governance,Logistic,n_regulatory_mechanisms,0.49874700489515233,,,,,,36,,,,42,,,,,,,,,,
