iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
ZWE,ZWE,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
AFG,Afghanistan,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
BHR,Bahrain,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BRB,BRB,country_iso3,Latin America & Caribbean ,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
BRN,Brunei Darussalam,country_iso3,East Asia & Pacific,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CAF,CAF,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
COD,Democratic Republic of the Congo,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
CPV,CPV,country_iso3,Sub-Saharan Africa ,Upper middle income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
CUB,Cuba,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
CYP,Cyprus,country_iso3,Europe & Central Asia,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
