variable_matriz,source_id,bloque_tematico,unit,direction,is_primary,n_total,n_non_null,n_missing,pct_complete,pct_missing
wipo_sp33_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp32_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp31_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp23_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp13_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_regqua_score,wipo,institutional_control,score_0_100,higher_better,False,199,132,67,66.33,33.67
wipo_sp12_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp11_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_ruleol_score,wipo,institutional_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_qsrank_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp51_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_dommarksc_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp43_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_fdinetinfl_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_easestartbus_score,wipo,institutional_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_goveff_score,wipo,institutional_control,score_0_100,higher_better,False,199,132,67,66.33,33.67
wipo_gentld_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_ictuse_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_easecred_score,wipo,institutional_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_easeinsol_score,wipo,institutional_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_easeprotinv_score,wipo,institutional_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp53_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp52_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_citdoc_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_cctld_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_polstab_score,wipo,institutional_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp62_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp63_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_sp71_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,132,67,66.33,33.67
wipo_out_7_2_5_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_epart_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_ictsevimp_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_govolserv_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_creagoodexp_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_c_htexphkg_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_c_scitechart_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,131,68,65.83,34.17
wipo_sp21_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,131,68,65.83,34.17
