variable_matriz,bloque_tematico,source_id,unit,pct_complete,n_outliers_iqr_1_5,suggest_log_transform,fe_recommendation
wipo_in_3_2_score,tech_infrastructure_control,wipo,score_0_100,70.85,0,False,keep_primary
wipo_in_3_3_1_score,tech_infrastructure_control,wipo,score_0_100,67.34,6,False,keep_with_caution
wipo_in_3_3_2_score,tech_infrastructure_control,wipo,score_0_100,70.35,4,False,keep_primary
wipo_in_3_3_3_score,tech_infrastructure_control,wipo,score_0_100,70.85,15,False,keep_with_caution
wipo_in_3_3_score,tech_infrastructure_control,wipo,score_0_100,70.85,0,False,keep_primary
wipo_in_3_score,tech_infrastructure_control,wipo,score_0_100,70.85,0,False,collapse_redundant
wipo_in_4_1_1_score,tech_infrastructure_control,wipo,score_0_100,46.73,0,False,keep_with_caution
wipo_in_4_1_2_score,tech_infrastructure_control,wipo,score_0_100,68.84,6,False,keep_with_caution
wipo_in_4_1_3_score,tech_infrastructure_control,wipo,score_0_100,34.17,4,True,transform_log
wipo_in_4_1_score,tech_infrastructure_control,wipo,score_0_100,70.85,1,False,keep_primary
wipo_in_4_2_1_score,tech_infrastructure_control,wipo,score_0_100,44.22,6,True,transform_log
wipo_in_4_2_2_score,tech_infrastructure_control,wipo,score_0_100,64.82,13,True,transform_log
wipo_in_4_2_3_score,tech_infrastructure_control,wipo,score_0_100,60.8,13,True,transform_log
wipo_in_4_2_4_score,tech_infrastructure_control,wipo,score_0_100,62.81,12,True,transform_log
wipo_in_4_2_5_score,tech_infrastructure_control,wipo,score_0_100,58.29,12,False,keep_with_caution
wipo_in_4_2_score,tech_infrastructure_control,wipo,score_0_100,66.33,8,False,keep_with_caution
wipo_in_4_3_1_score,tech_infrastructure_control,wipo,score_0_100,70.35,3,False,keep_primary
wipo_in_4_3_2_score,tech_infrastructure_control,wipo,score_0_100,60.3,6,False,keep_with_caution
wipo_in_4_3_3_score,tech_infrastructure_control,wipo,score_0_100,70.85,2,False,collapse_redundant
wipo_in_4_3_score,tech_infrastructure_control,wipo,score_0_100,70.85,2,False,keep_primary
wipo_in_4_score,tech_infrastructure_control,wipo,score_0_100,70.85,1,False,keep_primary
wipo_in_5_1_1_score,tech_infrastructure_control,wipo,score_0_100,67.34,0,False,keep_with_caution
wipo_in_5_1_2_score,tech_infrastructure_control,wipo,score_0_100,67.84,0,False,keep_with_caution
wipo_in_5_1_3_score,tech_infrastructure_control,wipo,score_0_100,70.35,0,False,keep_primary
wipo_in_5_1_4_score,tech_infrastructure_control,wipo,score_0_100,53.27,6,False,keep_with_caution
wipo_in_5_1_5_score,tech_infrastructure_control,wipo,score_0_100,67.84,0,False,keep_with_caution
wipo_in_5_1_score,tech_infrastructure_control,wipo,score_0_100,70.85,2,False,keep_primary
wipo_in_5_2_1_score,tech_infrastructure_control,wipo,score_0_100,70.35,16,False,keep_with_caution
wipo_in_5_2_2_score,tech_infrastructure_control,wipo,score_0_100,68.34,1,False,keep_with_caution
wipo_in_5_2_3_score,tech_infrastructure_control,wipo,score_0_100,67.34,0,False,keep_with_caution
wipo_in_5_2_4_score,tech_infrastructure_control,wipo,score_0_100,70.35,0,False,keep_primary
wipo_in_5_2_5_score,tech_infrastructure_control,wipo,score_0_100,70.85,25,True,transform_log
