var_a,var_b,method,mi,n_pairs,n_bins
wipo_gerdperf_score,wipo_out_6_3_1_score,mutual_information_quantile,0.605371,89,8
wipo_in_4_2_4_score,wipo_patfam_score,mutual_information_quantile,0.605326,115,8
oxford_data_infrastructure,oxford_ind_ict_trade_services_log,mutual_information_quantile,0.605293,192,8
wipo_citdoc_score,wipo_in_5_2_5_score,mutual_information_quantile,0.605274,132,8
oxford_data_representativeness,wb_regulatory_quality,mutual_information_quantile,0.605248,190,8
wipo_govolserv_score,wipo_ictuse_score,mutual_information_quantile,0.605205,131,8
wipo_c_scitechart_score,wipo_in_2_3_1_score,mutual_information_quantile,0.605199,112,8
wipo_in_4_2_2_score,wipo_r_vencapdeal_score,mutual_information_quantile,0.60517,89,8
oxford_ind_online_services,wipo_out_7_3_2_score,mutual_information_quantile,0.605128,140,8
oxford_data_infrastructure,wb_tertiary_education_enrollment,mutual_information_quantile,0.605034,154,8
oxford_safety_security,oxford_total_score,mutual_information_quantile,0.604962,195,8
oxford_enabling_technical_infrastructure,wipo_sp23_score,mutual_information_quantile,0.604906,131,8
wipo_sp12_score,wipo_tertmob_score,mutual_information_quantile,0.604848,111,8
wipo_out_6_1_2_score,wipo_regqua_score,mutual_information_quantile,0.604845,119,8
oxford_societal_transition,wipo_in_2_1_3_score,mutual_information_quantile,0.604825,129,8
wipo_in_3_1_1_score,wipo_schlifeexp_score,mutual_information_quantile,0.604751,119,8
oxford_ind_github_activity_log,wipo_sp33_score,mutual_information_quantile,0.604748,131,8
wipo_in_4_2_score,wipo_sp11_score,mutual_information_quantile,0.604746,126,8
oxford_maturity,wipo_c_eccomplexity_score,mutual_information_quantile,0.604708,121,8
wipo_citdoc_score,wipo_out_6_2_5_score,mutual_information_quantile,0.604697,107,8
oxford_societal_transition,wipo_in_3_1_score,mutual_information_quantile,0.604692,140,8
oxford_governance_ethics,oxford_size,mutual_information_quantile,0.604654,176,8
wipo_in_3_2_2_score,wipo_pctpatorig_score,mutual_information_quantile,0.604582,113,8
oxford_data_quality,wipo_in_1_1_score,mutual_information_quantile,0.604527,140,8
wipo_logperf_score,wipo_out_6_1_5_score,mutual_information_quantile,0.60446,125,8
wipo_in_1_2_score,wipo_in_4_2_4_score,mutual_information_quantile,0.604459,125,8
oxford_government_digital_policy,oxford_ind_foundational_it,mutual_information_quantile,0.604456,193,8
wipo_in_3_1_3_score,wipo_in_3_score,mutual_information_quantile,0.604447,140,8
oxford_data_representativeness,wipo_in_5_1_3_score,mutual_information_quantile,0.604446,139,8
wipo_ictuse_score,wipo_out_6_score,mutual_information_quantile,0.604439,132,8
wipo_in_5_1_3_score,wipo_isoqual_score,mutual_information_quantile,0.604319,131,8
wipo_in_2_1_3_score,wipo_patfam_score,mutual_information_quantile,0.604301,120,8
oxford_digital_capacity,wipo_in_3_1_2_score,mutual_information_quantile,0.604253,140,8
wipo_ictuse_score,wipo_in_2_2_score,mutual_information_quantile,0.604233,130,8
oxford_human_capital,wipo_citdoc_score,mutual_information_quantile,0.604162,131,8
oxford_maturity,wipo_in_1_1_2_score,mutual_information_quantile,0.604046,140,8
wb_electric_consumption_kwh_pc,wipo_in_1_2_1_score,mutual_information_quantile,0.604035,132,8
oxford_ai_sector_maturity,wipo_gii_score,mutual_information_quantile,0.604011,140,8
oxford_societal_transition,wipo_out_6_1_2_score,mutual_information_quantile,0.603995,125,8
wipo_c_eccomplexity_score,wipo_in_5_2_5_score,mutual_information_quantile,0.603977,121,8
oxford_data_quality,wipo_cctld_score,mutual_information_quantile,0.60389,131,8
oxford_maturity,wipo_in_5_1_4_score,mutual_information_quantile,0.603838,105,8
oxford_ind_telecom_infrastructure,wipo_patfam_score,mutual_information_quantile,0.603789,126,8
wipo_in_3_1_1_score,wipo_in_3_2_2_score,mutual_information_quantile,0.603763,130,8
oxford_governance_principles,wipo_gii_score,mutual_information_quantile,0.603753,140,8
ms_h2_2025_ai_diffusion_pct,wipo_sp31_score,mutual_information_quantile,0.603687,117,8
wipo_ictuse_score,wipo_logperf_score,mutual_information_quantile,0.603674,125,8
wipo_in_5_1_5_score,wipo_sp31_score,mutual_information_quantile,0.603641,128,8
wipo_epart_score,wipo_in_2_3_score,mutual_information_quantile,0.603414,131,8
oxford_ind_statistical_capacity,wipo_in_score,mutual_information_quantile,0.603344,140,8
ms_h2_2025_ai_diffusion_pct,oxford_total_score,mutual_information_quantile,0.603295,146,8
oxford_governance_ethics,wipo_in_3_1_3_score,mutual_information_quantile,0.603251,140,8
oxford_ai_infrastructure,oxford_ind_cybersecurity,mutual_information_quantile,0.603187,193,8
oxford_maturity,wipo_out_6_2_3_score,mutual_information_quantile,0.603067,138,8
oxford_ind_govt_effectiveness,oxford_ind_ict_trade_goods_log,mutual_information_quantile,0.603062,192,8
oxford_ind_regulatory_quality,oxford_maturity,mutual_information_quantile,0.603045,193,8
oxford_infrastructure,wipo_ictorgmod_score,mutual_information_quantile,0.602989,124,8
wipo_in_4_score,wipo_logperf_score,mutual_information_quantile,0.602915,125,8
oxford_enabling_technical_infrastructure,oxford_maturity,mutual_information_quantile,0.60289,193,8
wipo_sp51_score,wipo_sp73_score,mutual_information_quantile,0.602815,132,8
wipo_in_2_1_4_score,wipo_in_5_score,mutual_information_quantile,0.602759,86,8
wipo_in_2_3_score,wipo_in_4_3_score,mutual_information_quantile,0.602686,141,8
oxford_ai_technology_diffusion,oxford_policy_capacity,mutual_information_quantile,0.602669,195,8
wipo_ictacc_score,wipo_in_2_3_score,mutual_information_quantile,0.602646,132,8
oxford_ind_cybersecurity,oxford_policy_capacity,mutual_information_quantile,0.602515,193,8
wipo_in_1_3_score,wipo_in_1_score,mutual_information_quantile,0.602406,138,8
oxford_enabling_technical_infrastructure,oxford_size,mutual_information_quantile,0.602375,176,8
wb_government_effectiveness,wipo_in_3_1_2_score,mutual_information_quantile,0.602353,141,8
oxford_ind_online_services,oxford_ind_statistical_capacity,mutual_information_quantile,0.602345,192,8
oxford_data_quality,wipo_in_5_2_score,mutual_information_quantile,0.602334,140,8
oxford_data_representativeness,wipo_sp73_score,mutual_information_quantile,0.602304,131,8
wipo_in_2_score,wipo_sp21_score,mutual_information_quantile,0.602268,131,8
wipo_out_6_1_2_score,wipo_sp11_score,mutual_information_quantile,0.60214,119,8
oxford_development_diffusion,oxford_governance_principles,mutual_information_quantile,0.602115,195,8
oxford_ind_ict_trade_goods_log,wipo_ruleol_score,mutual_information_quantile,0.602106,131,8
oxford_data_availability,wipo_sp23_score,mutual_information_quantile,0.602061,131,8
oxford_data_infrastructure,wipo_sp22_score,mutual_information_quantile,0.602059,129,8
oxford_maturity,wipo_in_1_1_score,mutual_information_quantile,0.602033,140,8
oxford_human_capital,wipo_in_2_score,mutual_information_quantile,0.602033,140,8
wipo_in_2_3_1_score,wipo_tertenrol_score,mutual_information_quantile,0.602029,110,8
oxford_data_infrastructure,wipo_c_eccomplexity_score,mutual_information_quantile,0.601992,121,8
wipo_out_6_3_3_score,wipo_out_6_score,mutual_information_quantile,0.601987,139,8
oxford_data_quality,oxford_government,mutual_information_quantile,0.601925,193,8
wipo_schlifeexp_score,wipo_sp73_score,mutual_information_quantile,0.601896,119,8
wipo_dommarksc_score,wipo_out_6_1_5_score,mutual_information_quantile,0.601892,132,8
oxford_innovation_capacity,wipo_in_2_3_1_score,mutual_information_quantile,0.601879,117,8
oxford_government,oxford_size,mutual_information_quantile,0.601767,176,8
oxford_government,wipo_in_2_3_score,mutual_information_quantile,0.601678,140,8
oxford_ind_adoption_emerging_tech,wb_regulatory_quality,mutual_information_quantile,0.601657,182,8
wipo_jvstratall_score,wipo_sp52_score,mutual_information_quantile,0.601641,127,8
wipo_in_2_3_score,wipo_out_6_3_2_score,mutual_information_quantile,0.601627,130,8
oxford_ind_github_activity_log,wipo_intelproprec_score,mutual_information_quantile,0.601591,113,8
oxford_ind_statistical_capacity,oxford_total_score,mutual_information_quantile,0.601584,192,8
oxford_ai_infrastructure,wipo_sp43_score,mutual_information_quantile,0.601577,131,8
wipo_gii_score,wipo_in_4_2_4_score,mutual_information_quantile,0.60151,125,8
oxford_policy_vision,wipo_in_2_3_score,mutual_information_quantile,0.601504,140,8
wb_regulatory_quality,wipo_in_3_1_2_score,mutual_information_quantile,0.601464,141,8
oxford_human_capital,wipo_brandval_score,mutual_information_quantile,0.601432,112,8
oxford_ai_infrastructure,wipo_in_1_2_1_score,mutual_information_quantile,0.601404,140,8
wipo_goveff_score,wipo_in_4_2_5_score,mutual_information_quantile,0.601288,112,8
wipo_in_3_1_1_score,wipo_in_4_score,mutual_information_quantile,0.601284,140,8
oxford_technology_sector,wb_government_effectiveness,mutual_information_quantile,0.60128,191,8
wipo_in_3_1_score,wipo_out_6_1_2_score,mutual_information_quantile,0.601269,125,8
oxford_data_quality,wipo_wikiedit_score,mutual_information_quantile,0.601247,130,8
oxford_data_representativeness,oxford_ind_regulatory_quality,mutual_information_quantile,0.601195,192,8
oxford_infrastructure,wb_tertiary_education_enrollment,mutual_information_quantile,0.60115,154,8
wipo_knowintsemp_score,wipo_out_6_score,mutual_information_quantile,0.601131,124,8
wipo_out_6_3_score,wipo_pctpatorig_score,mutual_information_quantile,0.600919,117,8
oxford_data_infrastructure,wipo_out_6_1_2_score,mutual_information_quantile,0.600894,125,8
oxford_development_diffusion,oxford_ind_cybersecurity,mutual_information_quantile,0.600812,193,8
oxford_ind_github_activity_log,wipo_c_eccomplexity_score,mutual_information_quantile,0.6007,121,8
wipo_resppop_score,wipo_sp22_score,mutual_information_quantile,0.600369,106,8
wipo_in_score,wipo_sp12_score,mutual_information_quantile,0.600323,132,8
oxford_ind_adoption_emerging_tech,oxford_societal_transition,mutual_information_quantile,0.600263,184,8
wipo_epart_score,wipo_gii_score,mutual_information_quantile,0.60024,131,8
oxford_total_score,wipo_sp11_score,mutual_information_quantile,0.600118,131,8
wipo_patfam_score,wipo_patorig_score,mutual_information_quantile,0.600067,126,8
wb_secure_servers_per_1m,wipo_in_1_2_score,mutual_information_quantile,0.600063,141,8
wipo_out_7_3_2_score,wipo_sp23_score,mutual_information_quantile,0.600021,132,8
oxford_ind_ict_skills,wb_secure_servers_per_1m,mutual_information_quantile,0.600007,180,8
wipo_in_1_2_1_score,wipo_in_3_1_2_score,mutual_information_quantile,0.599877,141,8
wipo_cctld_score,wipo_pctpatorig_score,mutual_information_quantile,0.599856,117,8
oxford_development_diffusion,oxford_ind_online_services,mutual_information_quantile,0.599717,193,8
oxford_infrastructure,wipo_brandval_score,mutual_information_quantile,0.599715,112,8
wipo_in_4_2_5_score,wipo_ruleol_score,mutual_information_quantile,0.599534,112,8
wipo_citdoc_score,wipo_patfam_score,mutual_information_quantile,0.599384,127,8
oxford_data_representativeness,oxford_ind_ict_trade_services_log,mutual_information_quantile,0.599366,192,8
oxford_ind_online_services,wipo_in_2_2_1_score,mutual_information_quantile,0.59936,134,8
oxford_ai_technology_diffusion,wipo_pctpatorig_score,mutual_information_quantile,0.599318,117,8
wipo_in_3_1_4_score,wipo_in_score,mutual_information_quantile,0.599267,135,8
oxford_ind_github_activity_log,wipo_in_3_1_4_score,mutual_information_quantile,0.599184,135,8
wipo_out_score,wipo_patorig_score,mutual_information_quantile,0.599168,131,8
oxford_data_availability,wipo_in_2_2_1_score,mutual_information_quantile,0.599111,134,8
oxford_ai_infrastructure,wipo_knowintsemp_score,mutual_information_quantile,0.599108,123,8
oxford_ind_accountability,oxford_ind_regulatory_quality,mutual_information_quantile,0.59902,193,8
oxford_data_infrastructure,wipo_in_1_1_1_score,mutual_information_quantile,0.598899,140,8
oxford_data_representativeness,wipo_out_7_3_2_score,mutual_information_quantile,0.59887,140,8
wipo_in_2_1_4_score,wipo_sp11_score,mutual_information_quantile,0.598808,86,8
oxford_ai_infrastructure,wipo_out_7_1_score,mutual_information_quantile,0.59877,140,8
wb_ict_goods_exports_pct,wipo_out_6_3_2_score,mutual_information_quantile,0.598722,125,8
oxford_government,oxford_resilience,mutual_information_quantile,0.598636,193,8
oxford_ind_govt_effectiveness,wipo_patfam_score,mutual_information_quantile,0.598599,126,8
oxford_ind_govt_effectiveness,wipo_in_5_2_score,mutual_information_quantile,0.59856,140,8
wb_government_effectiveness,wipo_in_5_2_5_score,mutual_information_quantile,0.598525,141,8
oxford_data_availability,wipo_gii_score,mutual_information_quantile,0.598362,140,8
oxford_ind_ict_trade_goods_log,wb_rule_of_law,mutual_information_quantile,0.598312,190,8
oxford_total_score,wipo_in_4_score,mutual_information_quantile,0.598245,140,8
oxford_data_infrastructure,wipo_sp73_score,mutual_information_quantile,0.598211,131,8
ms_change_pp,oxford_infrastructure,mutual_information_quantile,0.598101,146,8
oxford_ind_github_activity_log,wipo_sp22_score,mutual_information_quantile,0.598063,129,8
oxford_infrastructure,wipo_in_5_1_1_score,mutual_information_quantile,0.598027,133,8
wipo_in_3_1_1_score,wipo_out_7_score,mutual_information_quantile,0.59802,140,8
wipo_out_6_3_2_score,wipo_out_7_3_2_score,mutual_information_quantile,0.597963,130,8
wipo_femempdeg_score,wipo_in_score,mutual_information_quantile,0.597961,124,8
oxford_data_quality,oxford_governance_ethics,mutual_information_quantile,0.597908,193,8
oxford_ind_online_services,oxford_regulatory_compliance,mutual_information_quantile,0.597847,193,8
oxford_ind_broadband_quality,wipo_elecout_score,mutual_information_quantile,0.597711,122,8
wipo_in_5_1_4_score,wipo_in_score,mutual_information_quantile,0.59771,106,8
oxford_data_infrastructure,wipo_in_5_1_4_score,mutual_information_quantile,0.597643,105,8
wb_control_of_corruption,wipo_sp31_score,mutual_information_quantile,0.597497,132,8
oxford_infrastructure,wipo_epart_score,mutual_information_quantile,0.597447,131,8
oxford_ai_infrastructure,wipo_in_4_3_score,mutual_information_quantile,0.597446,140,8
oxford_development_diffusion,wipo_patfam_score,mutual_information_quantile,0.59738,126,8
oxford_ind_telecom_infrastructure,wipo_out_6_1_2_score,mutual_information_quantile,0.597362,125,8
oxford_size,wipo_qsrank_score,mutual_information_quantile,0.597312,131,8
wb_rd_expenditure_pct_gdp,wipo_in_5_2_1_score,mutual_information_quantile,0.597185,109,8
oxford_infrastructure,wipo_schlifeexp_score,mutual_information_quantile,0.597172,118,8
oxford_innovation_capacity,wb_researchers_rd_per_million,mutual_information_quantile,0.597051,107,8
wipo_statclustdev_score,wipo_unirescoll_score,mutual_information_quantile,0.596976,127,8
wb_rd_expenditure_pct_gdp,wb_secure_servers_per_1m,mutual_information_quantile,0.596952,117,8
wb_government_effectiveness,wipo_wikiedit_score,mutual_information_quantile,0.596858,131,8
oxford_ai_infrastructure,wipo_out_7_1_3_score,mutual_information_quantile,0.596827,123,8
oxford_ind_ict_trade_goods_log,wipo_logperf_score,mutual_information_quantile,0.596821,124,8
oxford_size,wipo_out_6_3_2_score,mutual_information_quantile,0.596761,129,8
oxford_innovation_capacity,wipo_out_7_1_3_score,mutual_information_quantile,0.596752,123,8
oxford_ind_households_internet,wb_fixed_broadband_per100,mutual_information_quantile,0.596752,191,8
oxford_ind_online_services,wipo_pctpatorig_score,mutual_information_quantile,0.59672,117,8
oxford_total_score,wb_gdp_current_usd,mutual_information_quantile,0.596368,191,8
oxford_adaptability,oxford_ind_govt_promotion_emerging_tech,mutual_information_quantile,0.596283,184,8
oxford_data_representativeness,wipo_in_1_1_score,mutual_information_quantile,0.59627,140,8
oecd_2_indigo_oecd_indigo_score,oxford_governance_ethics,mutual_information_quantile,0.596195,189,8
wipo_in_5_2_5_score,wipo_out_6_1_5_score,mutual_information_quantile,0.596189,141,8
oxford_technology_sector,wipo_in_5_1_4_score,mutual_information_quantile,0.596172,105,8
oxford_compute_capacity,wipo_brandval_score,mutual_information_quantile,0.59617,112,8
wb_government_effectiveness,wipo_in_2_3_2_score,mutual_information_quantile,0.596151,121,8
wb_gdp_per_capita_ppp,wipo_logperf_score,mutual_information_quantile,0.596119,124,8
wipo_out_7_3_1_score,wipo_sp23_score,mutual_information_quantile,0.596093,132,8
anthropic_ai_autonomy_mean,wipo_regqua_score,mutual_information_quantile,0.596011,122,8
oxford_ind_online_services,wipo_in_3_2_2_score,mutual_information_quantile,0.595978,130,8
oxford_ind_households_internet,wipo_in_score,mutual_information_quantile,0.595949,140,8
oxford_ind_ict_skills,wipo_in_1_2_2_score,mutual_information_quantile,0.595904,133,8
oxford_ind_cost_internet_device,wipo_in_5_1_1_score,mutual_information_quantile,0.595873,132,8
oxford_total_score,wipo_sp62_score,mutual_information_quantile,0.595787,131,8
oxford_ind_software_spending,oxford_maturity,mutual_information_quantile,0.595667,184,8
wipo_gii_score,wipo_out_7_1_score,mutual_information_quantile,0.595628,141,8
wipo_in_3_1_score,wipo_in_5_1_5_score,mutual_information_quantile,0.595604,135,8
oxford_data_infrastructure,wipo_ictorgmod_score,mutual_information_quantile,0.595471,124,8
oxford_data_representativeness,wipo_in_3_1_score,mutual_information_quantile,0.595454,140,8
wipo_in_4_3_2_score,wipo_sp43_score,mutual_information_quantile,0.595292,116,8
wipo_ictacc_score,wipo_ruleol_score,mutual_information_quantile,0.595271,132,8
oxford_ai_infrastructure,wipo_elecout_score,mutual_information_quantile,0.595271,123,8
wipo_appcrea_score,wipo_sp73_score,mutual_information_quantile,0.595063,104,8
oxford_ind_ict_trade_services_log,wipo_out_7_score,mutual_information_quantile,0.594846,140,8
oxford_data_quality,oxford_development_diffusion,mutual_information_quantile,0.594821,195,8
oxford_development_diffusion,oxford_regulatory_compliance,mutual_information_quantile,0.594803,195,8
oxford_ind_telecom_infrastructure,wipo_in_2_2_score,mutual_information_quantile,0.594794,135,8
oxford_ind_statistical_capacity,wipo_regqua_score,mutual_information_quantile,0.594694,131,8
wipo_in_1_3_1_score,wipo_in_1_score,mutual_information_quantile,0.594629,136,8
oxford_governance_ethics,wipo_logperf_score,mutual_information_quantile,0.594624,124,8
oxford_human_capital,wipo_qsrank_score,mutual_information_quantile,0.594593,131,8
oecd_2_indigo_oecd_indigo_score,wipo_in_1_2_1_score,mutual_information_quantile,0.594593,141,8
oxford_ai_technology_diffusion,oxford_governance_principles,mutual_information_quantile,0.594589,195,8
wipo_schlifeexp_score,wipo_sp11_score,mutual_information_quantile,0.59455,119,8
oxford_ind_cybersecurity,oxford_regulatory_compliance,mutual_information_quantile,0.594543,193,8
oxford_adaptability,wipo_in_1_2_score,mutual_information_quantile,0.594524,140,8
oxford_ind_eng_tech_higher_ed_quality,wipo_citdoc_score,mutual_information_quantile,0.594502,131,8
oxford_ind_govt_effectiveness,wipo_pctpatorig_score,mutual_information_quantile,0.594486,117,8
oxford_ind_github_activity_log,wipo_in_2_2_score,mutual_information_quantile,0.5944,135,8
wipo_out_7_3_2_score,wipo_ruleol_score,mutual_information_quantile,0.594391,132,8
wb_rd_expenditure_pct_gdp,wipo_c_eccomplexity_score,mutual_information_quantile,0.594316,98,8
wipo_femempdeg_score,wipo_in_3_1_1_score,mutual_information_quantile,0.594292,124,8
oxford_ind_statistical_capacity,wipo_envperf_score,mutual_information_quantile,0.594262,130,8
wipo_cctld_score,wipo_in_5_1_3_score,mutual_information_quantile,0.59425,131,8
oxford_ai_infrastructure,oxford_governance_principles,mutual_information_quantile,0.594217,195,8
oxford_maturity,wipo_sp63_score,mutual_information_quantile,0.594165,131,8
oxford_technology_sector,wipo_sp11_score,mutual_information_quantile,0.594165,131,8
oxford_ind_github_activity_log,wipo_in_3_1_2_score,mutual_information_quantile,0.594144,140,8
wipo_in_1_1_2_score,wipo_in_5_2_score,mutual_information_quantile,0.594134,141,8
oxford_ind_online_services,wipo_out_7_3_score,mutual_information_quantile,0.594123,140,8
wb_fixed_broadband_per100,wipo_sp33_score,mutual_information_quantile,0.594007,132,8
wipo_isoqual_score,wipo_sp33_score,mutual_information_quantile,0.593973,132,8
oxford_ind_online_services,wipo_schlifeexp_score,mutual_information_quantile,0.593951,118,8
oxford_data_infrastructure,oxford_ind_broadband_quality,mutual_information_quantile,0.593858,184,8
ms_h2_2025_ai_diffusion_pct,wipo_in_3_1_score,mutual_information_quantile,0.593847,124,8
wb_control_of_corruption,wipo_in_4_2_4_score,mutual_information_quantile,0.593819,125,8
oxford_governance_ethics,oxford_resilience,mutual_information_quantile,0.593818,193,8
oxford_compute_capacity,wipo_in_2_3_4_score,mutual_information_quantile,0.593807,140,8
wipo_in_1_2_2_score,wipo_patfam_score,mutual_information_quantile,0.593796,127,8
wipo_in_2_1_3_score,wipo_sp73_score,mutual_information_quantile,0.593745,125,8
wipo_cctld_score,wipo_sp11_score,mutual_information_quantile,0.593731,132,8
oxford_innovation_capacity,wipo_out_6_1_2_score,mutual_information_quantile,0.593724,125,8
oxford_societal_transition,wipo_ruleol_score,mutual_information_quantile,0.593722,131,8
wb_gdp_current_usd,wipo_in_2_3_4_score,mutual_information_quantile,0.593669,141,8
wipo_govolserv_score,wipo_sp23_score,mutual_information_quantile,0.593551,131,8
wipo_in_1_2_score,wipo_in_3_1_2_score,mutual_information_quantile,0.593551,141,8
oxford_compute_capacity,wipo_in_3_2_2_score,mutual_information_quantile,0.593525,130,8
oxford_societal_transition,wipo_in_3_2_2_score,mutual_information_quantile,0.593487,130,8
oxford_ai_infrastructure,oxford_ind_ict_trade_goods_log,mutual_information_quantile,0.593482,192,8
oxford_ind_govt_effectiveness,wipo_in_4_score,mutual_information_quantile,0.593432,140,8
oxford_enabling_technical_infrastructure,wipo_in_3_1_1_score,mutual_information_quantile,0.593383,139,8
oxford_digital_capacity,oxford_governance_ethics,mutual_information_quantile,0.593381,193,8
wipo_out_6_3_1_score,wipo_out_6_score,mutual_information_quantile,0.593379,141,8
oxford_government,wb_rd_expenditure_pct_gdp,mutual_information_quantile,0.593363,116,8
oxford_data_availability,wb_gdp_per_capita_ppp,mutual_information_quantile,0.593351,184,8
oxford_total_score,wipo_out_6_1_score,mutual_information_quantile,0.593269,140,8
wb_government_effectiveness,wb_secure_servers_per_1m,mutual_information_quantile,0.593255,195,8
wipo_cctld_score,wipo_schlifeexp_score,mutual_information_quantile,0.593252,119,8
wipo_in_5_1_1_score,wipo_out_score,mutual_information_quantile,0.593212,134,8
wipo_out_6_3_2_score,wipo_sp62_score,mutual_information_quantile,0.593195,126,8
oxford_ind_online_services,wipo_in_1_1_2_score,mutual_information_quantile,0.593041,140,8
oxford_data_quality,wipo_ictorgmod_score,mutual_information_quantile,0.59291,124,8
wipo_in_1_2_score,wipo_patfam_score,mutual_information_quantile,0.59278,127,8
wipo_c_eccomplexity_score,wipo_out_6_2_4_score,mutual_information_quantile,0.592771,121,8
oxford_ind_statistical_capacity,wipo_in_4_3_score,mutual_information_quantile,0.592733,140,8
wipo_in_1_2_2_score,wipo_in_5_2_score,mutual_information_quantile,0.592727,141,8
wipo_in_5_3_5_score,wipo_resppop_score,mutual_information_quantile,0.592724,86,8
oxford_ind_statistical_capacity,wipo_in_3_score,mutual_information_quantile,0.592612,140,8
wb_control_of_corruption,wipo_in_3_2_2_score,mutual_information_quantile,0.592491,131,8
wb_gdp_per_capita_ppp,wipo_in_4_score,mutual_information_quantile,0.592352,139,8
wipo_in_2_score,wipo_in_5_1_5_score,mutual_information_quantile,0.592277,135,8
oxford_enabling_technical_infrastructure,wipo_in_3_1_2_score,mutual_information_quantile,0.592211,140,8
wb_rule_of_law,wipo_in_4_2_4_score,mutual_information_quantile,0.592134,125,8
wipo_sp23_score,wipo_sp43_score,mutual_information_quantile,0.592129,132,8
oxford_infrastructure,wipo_out_7_2_score,mutual_information_quantile,0.592038,140,8
oxford_development_diffusion,wipo_qsrank_score,mutual_information_quantile,0.591902,131,8
oxford_ind_cybersecurity,wipo_out_6_1_5_score,mutual_information_quantile,0.591888,140,8
oxford_ind_ict_trade_goods_log,oxford_societal_transition,mutual_information_quantile,0.591854,192,8
oxford_ind_adoption_emerging_tech,oxford_ind_telecom_infrastructure,mutual_information_quantile,0.591752,184,8
oxford_data_representativeness,wb_internet_penetration,mutual_information_quantile,0.591619,186,8
wipo_in_3_score,wipo_in_4_score,mutual_information_quantile,0.591612,141,8
oxford_total_score,wipo_qsrank_score,mutual_information_quantile,0.591544,131,8
wipo_in_5_3_5_score,wipo_sp23_score,mutual_information_quantile,0.591477,87,8
wipo_in_4_3_score,wipo_out_6_1_5_score,mutual_information_quantile,0.591473,141,8
oxford_digital_capacity,oxford_ind_cybersecurity,mutual_information_quantile,0.59144,193,8
wb_secure_servers_per_1m,wipo_in_2_3_score,mutual_information_quantile,0.591426,141,8
oxford_data_quality,wipo_ruleol_score,mutual_information_quantile,0.591327,131,8
oxford_governance_2025,wipo_in_2_3_score,mutual_information_quantile,0.591271,140,8
oxford_ind_ict_skills,oxford_societal_transition,mutual_information_quantile,0.590916,181,8
wipo_gerdperf_score,wipo_goveff_score,mutual_information_quantile,0.590752,89,8
oxford_governance_ethics,oxford_policy_capacity,mutual_information_quantile,0.590748,193,8
wb_rule_of_law,wipo_sp31_score,mutual_information_quantile,0.590604,132,8
oxford_governance_ethics,wipo_citdoc_score,mutual_information_quantile,0.590591,131,8
wb_rd_expenditure_pct_gdp,wipo_sp11_score,mutual_information_quantile,0.590511,105,8
oxford_societal_transition,wb_electric_consumption_kwh_pc,mutual_information_quantile,0.590407,146,8
wipo_out_score,wipo_regqua_score,mutual_information_quantile,0.590398,132,8
wipo_sp31_score,wipo_sp73_score,mutual_information_quantile,0.590336,132,8
oxford_ind_cost_internet_device,wipo_in_1_1_2_score,mutual_information_quantile,0.590325,139,8
oxford_ai_infrastructure,wipo_regqua_score,mutual_information_quantile,0.590308,131,8
oxford_size,wipo_in_1_1_score,mutual_information_quantile,0.589991,140,8
oxford_data_quality,oxford_ind_ict_skills,mutual_information_quantile,0.589938,181,8
wipo_in_3_3_3_score,wipo_in_3_score,mutual_information_quantile,0.589861,141,8
wb_electric_consumption_kwh_pc,wipo_in_2_2_score,mutual_information_quantile,0.589842,128,8
oxford_ind_online_services,wipo_in_3_1_1_score,mutual_information_quantile,0.589813,139,8
wipo_out_6_score,wipo_sp43_score,mutual_information_quantile,0.589789,132,8
oxford_enabling_technical_infrastructure,wipo_out_7_score,mutual_information_quantile,0.589777,140,8
wipo_gentld_score,wipo_in_2_1_3_score,mutual_information_quantile,0.589776,125,8
wipo_in_score,wipo_out_7_2_score,mutual_information_quantile,0.589748,141,8
wipo_in_4_3_score,wipo_out_6_3_score,mutual_information_quantile,0.589634,141,8
wipo_in_3_2_2_score,wipo_resppop_score,mutual_information_quantile,0.589629,103,8
oxford_size,wipo_in_4_2_score,mutual_information_quantile,0.589458,131,8
oxford_enabling_technical_infrastructure,wipo_in_3_2_1_score,mutual_information_quantile,0.589314,133,8
wipo_logperf_score,wipo_out_6_score,mutual_information_quantile,0.589312,125,8
oxford_ind_govt_effectiveness,wipo_out_7_3_2_score,mutual_information_quantile,0.5893,140,8
oxford_government,wipo_sp23_score,mutual_information_quantile,0.589299,131,8
ms_change_pp,oxford_ai_infrastructure,mutual_information_quantile,0.589258,146,8
oxford_ind_households_internet,oxford_technology_sector,mutual_information_quantile,0.589231,192,8
oxford_ind_statistical_capacity,wipo_ictuse_score,mutual_information_quantile,0.589199,131,8
oxford_data_availability,oxford_government_digital_policy,mutual_information_quantile,0.589175,193,8
wipo_in_3_1_3_score,wipo_out_score,mutual_information_quantile,0.589128,140,8
wb_fixed_broadband_per100,wb_government_effectiveness,mutual_information_quantile,0.589032,194,8
ms_h2_2025_ai_diffusion_pct,wipo_in_3_1_1_score,mutual_information_quantile,0.588986,123,8
oxford_ind_online_services,wipo_in_1_2_1_score,mutual_information_quantile,0.588899,140,8
oxford_ind_telecom_infrastructure,wipo_in_5_2_5_score,mutual_information_quantile,0.588881,140,8
oxford_governance_2025,wipo_sp23_score,mutual_information_quantile,0.588858,131,8
